"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"araQ_1","","L-arabinose transport system permease protein AraQ","3","3","1","74","5731","106","11","","839","839","839","","42P1R1A12_00432","44P3R3A6_01069","51P2R2A10_00326",""
"group_254","","hypothetical protein","3","3","1","74","4789","42","18","","371","371","371","31P2R1A5_04271","","44P3R3A6_03806","","54P2R2A3_03665"
"group_2546","","hypothetical protein","3","3","1","74","756","1","467","","158","194","182","","42P1R1A12_00673","","51P2R2A10_03053","54P2R2A3_03407"
"group_26","","hypothetical protein","3","3","1","74","8471","1","1056","","146","491","376","31P2R1A5_00143","","44P3R3A6_02861","","54P2R2A3_02913"
"group_260","","ISNCY family transposase ISRor2","3","3","1","76","562","343","1","","566","938","812","31P2R1A5_04336","","44P3R3A6_04175","","54P2R2A3_02661"
"yhaI","","Inner membrane protein YhaI","3","3","1","76","425","51","12","","365","365","365","31P2R1A5_04414","","44P3R3A6_04250","","54P2R2A3_02588"
"group_269","","hypothetical protein","3","3","1","74","1264","18","26","","542","593","576","31P2R1A5_04472","","44P3R3A6_05259","","54P2R2A3_04701"
"group_27","abgT","p-aminobenzoyl-glutamate transport protein","3","3","1","74","2113","1","310","","1118","1526","1390","31P2R1A5_00287","","44P3R3A6_00202","","54P2R2A3_02773"
"ydfK_2","","putative membrane protein YdfK","3","3","1","78","134","254","3","","722","725","724","31P2R1A5_04798","","44P3R3A6_04707","","54P2R2A3_04369"
"abgT","","p-aminobenzoyl-glutamate transport protein","3","3","1","74","8737","1","273","","434","1526","1162","","42P1R1A12_01838","44P3R3A6_00137","51P2R2A10_00661",""
"group_285","","hypothetical protein","3","3","1","74","4906","189","7","","95","95","95","31P2R1A5_04914","","44P3R3A6_04339","","54P2R2A3_03977"
"syrM1","","HTH-type transcriptional regulator SyrM 1","3","3","1","76","712","14","48","","908","908","908","31P2R1A5_04962","","44P3R3A6_04113","","54P2R2A3_02715"
"rbbA","","Ribosome-associated ATPase","3","3","1","76","668","14","56","","2744","2759","2749","31P2R1A5_04983","","44P3R3A6_04092","","54P2R2A3_02723"
"can_2","","Carbonic anhydrase 2","3","3","1","74","5103","1","655","","668","674","672","31P2R1A5_05012","","44P3R3A6_04279","","54P2R2A3_03817"
"group_291","ugpC_4","sn-glycerol-3-phosphate import ATP-binding protein UgpC","3","3","1","74","4997","311","1","","1070","1073","1072","31P2R1A5_05018","","44P3R3A6_04285","","54P2R2A3_03823"
"bglF_2","","PTS system beta-glucoside-specific EIIBCA component","3","3","1","74","3822","73","8","","374","1862","1366","31P2R1A5_05075","","44P3R3A6_01814","","54P2R2A3_00521"
"betB_2","","NAD/NADP-dependent betaine aldehyde dehydrogenase","3","3","1","76","20","16","7","","1466","1466","1466","","42P1R1A12_02261","","51P2R2A10_04786","54P2R2A3_02684"
"pgtP","","Phosphoglycerate transporter protein","3","3","1","74","10411","3","61","","1391","1391","1391","","42P1R1A12_02518","","51P2R2A10_00914","54P2R2A3_00360"
"zraR","","Transcriptional regulatory protein ZraR","3","3","1","80","22","220","3","","1331","1331","1331","31P2R1A5_05174","","44P3R3A6_05071","","54P2R2A3_04871"
"cusB","","Cation efflux system protein CusB","3","3","1","81","12","29","19","","1262","1262","1262","31P2R1A5_05283","","44P3R3A6_05389","","54P2R2A3_05002"
"ompA_1","","Outer membrane protein A","3","3","1","74","6530","39","16","","1070","1070","1070","","42P1R1A12_02789","","51P2R2A10_01529","54P2R2A3_04329"
"ugpC_2","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","3","3","1","74","5730","106","10","","1094","1094","1094","","42P1R1A12_00433","44P3R3A6_01068","51P2R2A10_00327",""
"group_315","","hypothetical protein","3","3","1","74","5729","106","9","","1139","1148","1142","","42P1R1A12_00434","44P3R3A6_01067","51P2R2A10_00328",""
"xylE","","D-xylose-proton symporter","3","3","1","74","7935","89","12","","1436","1436","1436","","42P1R1A12_01662","","51P2R2A10_03810","54P2R2A3_00839"
"hexR_2","","HTH-type transcriptional regulator HexR","3","3","1","76","585","16","28","","863","905","877","","42P1R1A12_02251","","51P2R2A10_04796","54P2R2A3_02671"
"sglT","","Sodium/glucose cotransporter","3","3","1","76","592","16","36","","1484","1487","1485","","42P1R1A12_02254","","51P2R2A10_04793","54P2R2A3_02674"
"group_3234","","hypothetical protein","3","3","1","74","8679","340","5","","407","407","407","","42P1R1A12_03374","","51P2R2A10_01135","54P2R2A3_02824"
"ccpA_2","","Catabolite control protein A","3","3","1","77","114","112","15","","1010","1010","1010","","42P1R1A12_03245","","51P2R2A10_05115","54P2R2A3_04041"
"dgoD","","D-galactonate dehydratase","3","3","1","75","837","97","16","","1148","1148","1148","","42P1R1A12_03556","","51P2R2A10_04926","54P2R2A3_04124"
"yicJ_4","","Inner membrane symporter YicJ","3","3","1","77","112","112","14","","1388","1421","1399","","42P1R1A12_03246","","51P2R2A10_05116","54P2R2A3_04040"
"rbtD","","Ribitol 2-dehydrogenase","3","3","1","74","3892","243","7","","749","749","749","","42P1R1A12_03512","","51P2R2A10_03448","54P2R2A3_04542"
"gsiC_6","","Glutathione transport system permease protein GsiC","3","3","1","74","3956","695","31","","938","938","938","","42P1R1A12_04213","44P3R3A6_05045","51P2R2A10_03416",""
"yjgH","","RutC family protein YjgH","3","3","1","74","4341","1","905","","389","395","391","","42P1R1A12_04006","44P3R3A6_04394","51P2R2A10_00134",""
"group_342","ddpA_3","putative D,D-dipeptide-binding periplasmic protein DdpA","3","3","1","74","3951","695","57","","1514","1514","1514","","42P1R1A12_04209","44P3R3A6_05049","51P2R2A10_03412",""
"fucP_1","","L-fucose-proton symporter","3","3","1","74","192","3","86","","1334","1334","1334","","42P1R1A12_04489","","51P2R2A10_02344","54P2R2A3_00382"
"fabG_7","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","3","3","1","74","196","3","168","","734","734","734","","42P1R1A12_04493","","51P2R2A10_02340","54P2R2A3_00386"
"deoC_1","","Deoxyribose-phosphate aldolase","3","3","1","74","2499","3","91","","713","749","725","","42P1R1A12_04485","","51P2R2A10_02348","54P2R2A3_00378"
"thlA_1","","Acetyl-CoA acetyltransferase","3","3","1","74","197","3","169","","1190","1190","1190","","42P1R1A12_04494","","51P2R2A10_02339","54P2R2A3_00387"
"group_3456","ppiC_2","Peptidyl-prolyl cis-trans isomerase C","3","3","1","78","124","957","1","","281","281","281","","42P1R1A12_04550","","51P2R2A10_05069","54P2R2A3_04367"
"srlR_1","","Glucitol operon repressor","3","3","1","74","189","3","90","","800","800","800","","42P1R1A12_04486","","51P2R2A10_02347","54P2R2A3_00379"
"group_347","","hypothetical protein","3","3","1","74","193","3","165","","389","389","389","","42P1R1A12_04490","","51P2R2A10_02343","54P2R2A3_00383"
"lcfB","","Long-chain-fatty-acid--CoA ligase","3","3","1","74","194","3","166","","1556","1556","1556","","42P1R1A12_04491","","51P2R2A10_02342","54P2R2A3_00384"
"ttuB_1","","Putative tartrate transporter","3","3","1","74","198","3","170","","1337","1337","1337","","42P1R1A12_04495","","51P2R2A10_02338","54P2R2A3_00388"
"group_350","","6-deoxy-6-sulfogluconolactonase","3","3","1","74","199","3","171","","878","878","878","","42P1R1A12_04496","","51P2R2A10_02337","54P2R2A3_00389"
"group_351","exuT_3","Hexuronate transporter","3","3","1","74","234","3","276","","1337","1370","1359","","42P1R1A12_04497","","51P2R2A10_02336","54P2R2A3_00390"
"ppsC","","Phthiocerol synthesis polyketide synthase type I PpsC","3","3","1","74","569","564","1","","980","980","980","31P2R1A5_00004","","44P3R3A6_02999","","54P2R2A3_03498"
"ynjF","","Inner membrane protein YnjF","3","3","1","74","595","41","4","","614","623","617","31P2R1A5_00007","","44P3R3A6_02996","","54P2R2A3_03495"
"ynjE","","Thiosulfate sulfurtransferase YnjE","3","3","1","74","596","41","5","","1307","1307","1307","31P2R1A5_00008","","44P3R3A6_02995","","54P2R2A3_03494"
"ynjC","","Inner membrane ABC transporter permease protein YnjC","3","3","1","74","598","41","7","","1535","1535","1535","31P2R1A5_00010","","44P3R3A6_02993","","54P2R2A3_03492"
"ynjB","","Protein YnjB","3","3","1","74","599","41","8","","1178","1178","1178","31P2R1A5_00011","","44P3R3A6_02992","","54P2R2A3_03491"
"group_367","","hypothetical protein","3","3","1","74","600","41","9","","560","560","560","31P2R1A5_00012","","44P3R3A6_02991","","54P2R2A3_03490"
"ydjZ","","TVP38/TMEM64 family inner membrane protein YdjZ","3","3","1","74","601","41","19","","710","710","710","31P2R1A5_00013","","44P3R3A6_02990","","54P2R2A3_03489"
"group_369","","hypothetical protein","3","3","1","74","602","41","18","","656","656","656","31P2R1A5_00014","","44P3R3A6_02989","","54P2R2A3_03488"
"astB_2","","N-succinylarginine dihydrolase","3","3","1","74","607","41","13","","1325","1325","1325","31P2R1A5_00019","","44P3R3A6_02984","","54P2R2A3_03483"
"astE_2","","Succinylglutamate desuccinylase","3","3","1","74","608","41","12","","965","965","965","31P2R1A5_00020","","44P3R3A6_02983","","54P2R2A3_03482"
"cho","","Excinuclease cho","3","3","1","74","610","41","10","","863","863","863","31P2R1A5_00022","","44P3R3A6_02981","","54P2R2A3_03480"
"osmE","","Osmotically-inducible putative lipoprotein OsmE","3","3","1","74","624","216","1","","338","338","338","31P2R1A5_00024","","44P3R3A6_02979","","54P2R2A3_03478"
"katE","","Catalase HPII","3","3","1","74","530","352","3","","2258","2258","2258","31P2R1A5_00031","","44P3R3A6_02972","","54P2R2A3_03471"
"group_378","kduD_2","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","3","3","1","74","526","270","3","","761","761","761","31P2R1A5_00035","","44P3R3A6_02968","","54P2R2A3_03467"
"hxpB_1","","Hexitol phosphatase B","3","3","1","74","525","270","4","","668","668","668","31P2R1A5_00036","","44P3R3A6_02967","","54P2R2A3_03466"
"pfeA","","Ferric enterobactin receptor","3","3","1","74","642","597","1","","2183","2240","2202","31P2R1A5_00039","","44P3R3A6_02964","","54P2R2A3_03463"
"tsaR_1","","HTH-type transcriptional regulator TsaR","3","3","1","74","2116","1","304","","908","926","914","31P2R1A5_00290","","44P3R3A6_00205","","54P2R2A3_02770"
"znuA","","High-affinity zinc uptake system protein ZnuA","3","3","1","74","5819","328","3","","944","959","949","31P2R1A5_01011","","44P3R3A6_01125","","54P2R2A3_02320"
"glpQ","","Glycerophosphodiester phosphodiesterase, periplasmic","3","3","1","74","8304","87","4","","1067","1070","1069","31P2R1A5_03016","","44P3R3A6_01895","","54P2R2A3_00588"
"clcB_2","","Voltage-gated ClC-type chloride channel ClcB","3","3","1","75","630","240","5","","1250","1259","1253","31P2R1A5_02467","","44P3R3A6_02433","","54P2R2A3_01524"
"pspF","","Psp operon transcriptional activator","3","3","1","74","8406","81","5","","974","989","979","31P2R1A5_00097","","44P3R3A6_02906","","54P2R2A3_02941"
"group_3810","","hypothetical protein","3","3","1","74","5902","2","280","","1136","1139","1138","31P2R1A5_04119","","44P3R3A6_03062","","54P2R2A3_04762"
"gmhB","","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","3","3","1","76","141","562","1","","566","617","598","31P2R1A5_03635","","44P3R3A6_03899","","54P2R2A3_04265"
"group_382","","hypothetical protein","3","3","1","74","663","82","14","","458","482","466","31P2R1A5_00047","","44P3R3A6_02956","","54P2R2A3_03453"
"group_3828","","hypothetical protein","3","3","1","74","6259","2","130","","389","392","390","31P2R1A5_03943","","44P3R3A6_05330","","54P2R2A3_04936"
"carA_1","","Caffeate CoA-transferase","3","3","1","74","195","3","167","","1592","1601","1595","","42P1R1A12_04492","","51P2R2A10_02341","54P2R2A3_00385"
"phoC","","Major phosphate-irrepressible acid phosphatase","3","3","1","74","567","359","3","","746","746","746","31P2R1A5_00001","","44P3R3A6_03002","","54P2R2A3_03501"
"xthA","","Exodeoxyribonuclease III","3","3","1","74","603","41","17","","806","806","806","31P2R1A5_00015","","44P3R3A6_02988","","54P2R2A3_03487"
"astC_2","","Succinylornithine transaminase","3","3","1","74","604","41","16","","1220","1220","1220","31P2R1A5_00016","","44P3R3A6_02987","","54P2R2A3_03486"
"astA_2","","Arginine N-succinyltransferase","3","3","1","74","605","41","15","","1034","1034","1034","31P2R1A5_00017","","44P3R3A6_02986","","54P2R2A3_03485"
"astD_3","","N-succinylglutamate 5-semialdehyde dehydrogenase","3","3","1","74","606","41","14","","1478","1478","1478","31P2R1A5_00018","","44P3R3A6_02985","","54P2R2A3_03484"
"spy","","Periplasmic chaperone Spy","3","3","1","74","609","41","11","","482","482","482","31P2R1A5_00021","","44P3R3A6_02982","","54P2R2A3_03481"
"chbB","","PTS system N,N'-diacetylchitobiose-specific EIIB component","3","3","1","74","625","216","5","","320","320","320","31P2R1A5_00025","","44P3R3A6_02978","","54P2R2A3_03477"
"chbC_1","","PTS system N,N'-diacetylchitobiose-specific EIIC component","3","3","1","74","626","216","4","","1358","1358","1358","31P2R1A5_00026","","44P3R3A6_02977","","54P2R2A3_03476"
"chbA_3","","PTS system N,N'-diacetylchitobiose-specific EIIA component","3","3","1","74","627","216","3","","347","347","347","31P2R1A5_00027","","44P3R3A6_02976","","54P2R2A3_03475"
"chbR","","HTH-type transcriptional regulator ChbR","3","3","1","74","628","216","2","","824","824","824","31P2R1A5_00028","","44P3R3A6_02975","","54P2R2A3_03474"
"cedA","","Cell division activator CedA","3","3","1","74","634","352","4","","332","332","332","31P2R1A5_00032","","44P3R3A6_02971","","54P2R2A3_03470"
"ydjM","","Inner membrane protein YdjM","3","3","1","74","527","270","2","","590","590","590","31P2R1A5_00034","","44P3R3A6_02969","","54P2R2A3_03468"
"yciK","","putative oxidoreductase YciK","3","3","1","74","686","337","2","","800","800","800","31P2R1A5_00062","","44P3R3A6_02941","","54P2R2A3_03439"
"group_3870","","hypothetical protein","3","3","1","74","640","270","1","","536","536","536","31P2R1A5_00037","","44P3R3A6_02966","","54P2R2A3_03465"
"group_3871","","hypothetical protein","3","3","1","74","653","82","2","","743","743","743","31P2R1A5_00041","","44P3R3A6_02962","","54P2R2A3_03461"
"group_3872","","hypothetical protein","3","3","1","74","654","82","3","","413","413","413","31P2R1A5_00042","","44P3R3A6_02961","","54P2R2A3_03460"
"ompW","","Outer membrane protein W","3","3","1","74","655","82","4","","638","638","638","31P2R1A5_00043","","44P3R3A6_02960","","54P2R2A3_03459"
"group_3874","","PKHD-type hydroxylase","3","3","1","74","656","82","5","","677","677","677","31P2R1A5_00044","","44P3R3A6_02959","","54P2R2A3_03458"
"trpA","","Tryptophan synthase alpha chain","3","3","1","74","667","82","15","","809","809","809","31P2R1A5_00052","","44P3R3A6_02951","","54P2R2A3_03452"
"trpC","","Tryptophan biosynthesis protein TrpCF","3","3","1","74","517","532","1","","1358","1358","1358","31P2R1A5_00054","","44P3R3A6_02949","","54P2R2A3_03450"
"yciV","","5'-3' exoribonuclease","3","3","1","74","671","245","2","","863","863","863","31P2R1A5_00057","","44P3R3A6_02946","","54P2R2A3_03447"
"yciO","","putative protein YciO","3","3","1","74","512","245","3","","620","620","620","31P2R1A5_00058","","44P3R3A6_02945","","54P2R2A3_03446"
"btuR","","Corrinoid adenosyltransferase","3","3","1","74","685","337","3","","590","590","590","31P2R1A5_00061","","44P3R3A6_02942","","54P2R2A3_03440"
"sohB","","putative protease SohB","3","3","1","74","687","337","1","","1082","1091","1088","31P2R1A5_00063","","44P3R3A6_02940","","54P2R2A3_03438"
"group_3887","","hypothetical protein","3","3","1","74","691","457","2","","167","167","167","31P2R1A5_00067","","44P3R3A6_02936","","54P2R2A3_03434"
"lapA","","Lipopolysaccharide assembly protein A","3","3","1","74","511","447","1","","308","308","308","31P2R1A5_00071","","44P3R3A6_02932","","54P2R2A3_03430"
"yciH","","putative protein YciH","3","3","1","74","706","178","7","","326","326","326","31P2R1A5_00074","","44P3R3A6_02929","","54P2R2A3_03427"
"osmB","","Osmotically-inducible lipoprotein B","3","3","1","74","707","178","6","","221","221","221","31P2R1A5_00075","","44P3R3A6_02928","","54P2R2A3_03426"
"group_3891","","hypothetical protein","3","3","1","74","709","178","4","","179","179","179","31P2R1A5_00077","","44P3R3A6_02926","","54P2R2A3_03424"
"rnb","","Exoribonuclease 2","3","3","1","74","711","178","3","","1934","1934","1934","31P2R1A5_00078","","44P3R3A6_02925","","54P2R2A3_03423"
"sapA","","Peptide transport periplasmic protein SapA","3","3","1","74","8398","81","12","","1643","1643","1643","31P2R1A5_00091","","44P3R3A6_02912","","54P2R2A3_02947"
"acnA","","Aconitate hydratase A","3","3","1","74","690","457","1","","2672","2672","2672","31P2R1A5_00068","","44P3R3A6_02935","","54P2R2A3_03433"
"norB","","Quinolone resistance protein NorB","3","3","1","74","8405","81","6","","1391","1391","1391","31P2R1A5_00096","","44P3R3A6_02907","","54P2R2A3_02942"
"pspA_2","","Phage shock protein A","3","3","1","74","8407","81","4","","668","668","668","31P2R1A5_00098","","44P3R3A6_02905","","54P2R2A3_02940"
"pspB","","Phage shock protein B","3","3","1","74","8408","81","3","","224","224","224","31P2R1A5_00099","","44P3R3A6_02904","","54P2R2A3_02939"
"pspC","","Phage shock protein C","3","3","1","74","8409","81","2","","359","359","359","31P2R1A5_00100","","44P3R3A6_02903","","54P2R2A3_02938"
"pspD","","Phage shock protein D","3","3","1","74","8410","81","1","","218","218","218","31P2R1A5_00101","","44P3R3A6_02902","","54P2R2A3_02937"
"group_3906","","hypothetical protein","3","3","1","74","8412","376","2","","1061","1061","1061","31P2R1A5_00103","","44P3R3A6_02900","","54P2R2A3_02935"
"mpaA","","Murein peptide amidase A","3","3","1","74","8419","1","1147","","707","707","707","31P2R1A5_00108","","44P3R3A6_02894","","54P2R2A3_02928"
"mppA","","Periplasmic murein peptide-binding protein","3","3","1","74","8422","1","1148","","1616","1616","1616","31P2R1A5_00109","","44P3R3A6_02893","","54P2R2A3_02927"
