"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"malP_2","","Maltodextrin phosphorylase","6","6","1","169","349","","","","2447","2447","2447","18P3R3A11_01861","37P2R3-2A1_02881","38P2R3A13_02378","47P2R3A6_03880","52P2R3A10_03260","56P2R2A4_03139"
"malQ","","4-alpha-glucanotransferase","6","6","1","169","342","","","","2078","2081","2080","18P3R3A11_01868","37P2R3-2A1_02874","38P2R3A13_02371","47P2R3A6_03873","52P2R3A10_03253","56P2R2A4_03146"
"pckA","","Phosphoenolpyruvate carboxykinase (ATP)","6","6","1","169","326","","","","1619","1619","1619","18P3R3A11_01880","37P2R3-2A1_02862","38P2R3A13_02358","47P2R3A6_03860","52P2R3A10_03240","56P2R2A4_03159"
"hslR","","Heat shock protein 15","6","6","1","169","324","","","","401","401","401","18P3R3A11_01882","37P2R3-2A1_02858","38P2R3A13_02356","47P2R3A6_03858","52P2R3A10_03238","56P2R2A4_03161"
"yrfG","","GMP/IMP nucleotidase YrfG","6","6","1","169","323","","","","683","683","683","18P3R3A11_01883","37P2R3-2A1_02857","38P2R3A13_02355","47P2R3A6_03857","52P2R3A10_03237","56P2R2A4_03162"
"mrcA","","Penicillin-binding protein 1A","6","6","1","169","320","","","","2552","2552","2552","18P3R3A11_01886","37P2R3-2A1_02854","38P2R3A13_02352","47P2R3A6_03854","52P2R3A10_03234","56P2R2A4_03165"
"aroB","","3-dehydroquinate synthase","6","6","1","169","311","","","","1088","1088","1088","18P3R3A11_01892","37P2R3-2A1_02848","38P2R3A13_02346","47P2R3A6_03848","52P2R3A10_03228","56P2R2A4_03171"
"argD","","Acetylornithine/succinyldiaminopimelate aminotransferase","6","6","1","169","279","","","","1220","1220","1220","18P3R3A11_01907","37P2R3-2A1_02833","38P2R3A13_02331","47P2R3A6_03832","52P2R3A10_03213","56P2R2A4_03186"
"cfxP","","Phosphoribulokinase, plasmid","6","6","1","169","273","","","","869","869","869","18P3R3A11_01911","37P2R3-2A1_02829","38P2R3A13_02327","47P2R3A6_03828","52P2R3A10_03209","56P2R2A4_03190"
"group_939","","hypothetical protein","6","6","1","167","794","","","","464","491","486","18P3R3A11_01965","37P2R3-2A1_03939","38P2R3A13_02279","47P2R3A6_02850","52P2R3A10_03161","56P2R2A4_03919"
"epmB","","L-lysine 2,3-aminomutase","6","6","1","167","799","","","","1028","1028","1028","18P3R3A11_01970","37P2R3-2A1_03944","38P2R3A13_02274","47P2R3A6_02845","52P2R3A10_03156","56P2R2A4_03914"
"hflX","","GTPase HflX","6","6","1","167","847","","","","1280","1280","1280","18P3R3A11_01998","37P2R3-2A1_03972","38P2R3A13_02247","47P2R3A6_02816","52P2R3A10_03129","56P2R2A4_03888"
"hflK","","Modulator of FtsH protease HflK","6","6","1","167","848","","","","1259","1262","1259","18P3R3A11_01999","37P2R3-2A1_03973","38P2R3A13_02246","47P2R3A6_02815","52P2R3A10_03128","56P2R2A4_03887"
"ytfT","","Inner membrane ABC transporter permease protein YtfT","6","6","1","167","908","","","","1022","1022","1022","18P3R3A11_02056","37P2R3-2A1_02123","38P2R3A13_02202","47P2R3A6_02760","52P2R3A10_03084","56P2R2A4_02600"
"group_968","","hypothetical protein","6","6","1","167","919","","","","551","551","551","18P3R3A11_02062","37P2R3-2A1_02129","38P2R3A13_02196","47P2R3A6_02754","52P2R3A10_03078","56P2R2A4_02594"
"group_970","","hypothetical protein","6","6","1","167","923","","","","320","320","320","18P3R3A11_02066","37P2R3-2A1_02133","38P2R3A13_02193","47P2R3A6_02751","52P2R3A10_03075","56P2R2A4_02591"
"btuD_4","","Vitamin B12 import ATP-binding protein BtuD","6","6","1","168","442","","","","998","1013","1008","18P3R3A11_02089","37P2R3-2A1_03189","38P2R3A13_03932","47P2R3A6_03576","52P2R3A10_03919","56P2R2A4_03498"
"eptB","","Kdo(2)-lipid A phosphoethanolamine 7''-transferase","6","6","1","168","448","","","","1694","1694","1694","18P3R3A11_02095","37P2R3-2A1_03195","38P2R3A13_03938","47P2R3A6_03582","52P2R3A10_03925","56P2R2A4_03492"
"group_984","","hypothetical protein","6","6","1","168","470","","","","710","710","710","18P3R3A11_02108","37P2R3-2A1_03208","38P2R3A13_03951","47P2R3A6_03595","52P2R3A10_03938","56P2R2A4_03479"
"clcD","","Carboxymethylenebutenolidase","6","6","1","168","495","","","","806","806","806","18P3R3A11_02123","37P2R3-2A1_03223","38P2R3A13_04179","47P2R3A6_04369","52P2R3A10_04007","56P2R2A4_03839"
"metE","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","6","6","1","168","496","","","","2261","2261","2261","18P3R3A11_02124","37P2R3-2A1_03224","38P2R3A13_04180","47P2R3A6_04368","52P2R3A10_04008","56P2R2A4_03838"
"metR","","HTH-type transcriptional regulator MetR","6","6","1","168","497","","","","953","953","953","18P3R3A11_02125","37P2R3-2A1_03225","38P2R3A13_04181","47P2R3A6_04367","52P2R3A10_04009","56P2R2A4_03837"
"bioP","","Biotin transporter","6","6","1","168","498","","","","899","899","899","18P3R3A11_02126","37P2R3-2A1_03226","38P2R3A13_04182","47P2R3A6_04366","52P2R3A10_04010","56P2R2A4_03836"
"group_995","","hypothetical protein","6","6","1","168","511","","","","467","467","467","18P3R3A11_02133","37P2R3-2A1_03233","38P2R3A13_04189","47P2R3A6_04359","52P2R3A10_04017","56P2R2A4_03829"
"xerC_5","","Tyrosine recombinase XerC","6","6","1","168","522","","","","899","902","901","18P3R3A11_02138","37P2R3-2A1_03238","38P2R3A13_04194","47P2R3A6_04354","52P2R3A10_04022","56P2R2A4_03824"
"group_999","","hypothetical protein","6","6","1","168","523","","","","674","707","696","18P3R3A11_02139","37P2R3-2A1_03239","38P2R3A13_04195","47P2R3A6_04353","52P2R3A10_04023","56P2R2A4_03823"
"ybhA","","Pyridoxal phosphate phosphatase YbhA","5","5","1","166","7710","6","121","","608","818","742","18P3R3A11_01342","37P2R3-2A1_01673","38P2R3A13_04757","","52P2R3A10_01064","56P2R2A4_01098"
"ddlA","","D-alanine--D-alanine ligase A","5","5","1","166","5577","22","45","","209","1100","743","18P3R3A11_02352","37P2R3-2A1_01283","38P2R3A13_01297","","52P2R3A10_01431","56P2R2A4_00732"
"hcxA","","Hydroxycarboxylate dehydrogenase A","5","5","1","166","1297","1","1167","","1088","1088","1088","18P3R3A11_01204","37P2R3-2A1_01534","38P2R3A13_01066","","52P2R3A10_01201","56P2R2A4_00965"
"wzyE","","putative ECA polymerase","5","5","1","168","543","60","11","","1352","1352","1352","18P3R3A11_02155","37P2R3-2A1_03255","38P2R3A13_04211","","52P2R3A10_04039","56P2R2A4_03808"
"wzxE","","Lipid III flippase","5","5","1","168","540","60","14","","1250","1250","1250","18P3R3A11_02157","37P2R3-2A1_03257","38P2R3A13_04213","","52P2R3A10_04041","56P2R2A4_03806"
"wecB","","UDP-N-acetylglucosamine 2-epimerase","5","5","1","168","342","60","20","","1085","1085","1085","18P3R3A11_02161","37P2R3-2A1_03261","38P2R3A13_04217","","52P2R3A10_04045","56P2R2A4_03802"
"udp","","Uridine phosphorylase","5","5","1","168","494","74","13","","761","761","761","18P3R3A11_02122","37P2R3-2A1_03222","38P2R3A13_04178","47P2R3A6_04370","52P2R3A10_04006",""
"wzzE","","ECA polysaccharide chain length modulation protein","5","5","1","168","554","60","5","","1046","1046","1046","18P3R3A11_02162","","38P2R3A13_04218","47P2R3A6_04331","52P2R3A10_04046","56P2R2A4_03801"
"ibpA","","Small heat shock protein IbpA","5","5","1","168","180","50","13","","410","410","410","18P3R3A11_02934","37P2R3-2A1_04212","38P2R3A13_03361","47P2R3A6_03747","52P2R3A10_03678",""
"radA","","DNA repair protein RadA","5","5","1","167","508","32","30","","1385","1385","1385","18P3R3A11_01503","37P2R3-2A1_02314","38P2R3A13_02516","","52P2R3A10_02187","56P2R2A4_02454"
"group_1023","","hypothetical protein","5","5","1","168","639","27","38","","914","914","914","18P3R3A11_02179","37P2R3-2A1_03279","38P2R3A13_06093","47P2R3A6_03653","","56P2R2A4_03430"
"btsT","","Pyruvate/proton symporter BtsT","5","5","1","167","69","3","238","","2153","2153","2153","18P3R3A11_01449","37P2R3-2A1_02259","38P2R3A13_02464","","52P2R3A10_02136","56P2R2A4_02506"
"rfaF","","ADP-heptose--LPS heptosyltransferase 2","5","5","1","168","645","27","44","","1046","1046","1046","18P3R3A11_02183","37P2R3-2A1_03283","38P2R3A13_04683","","52P2R3A10_04191","56P2R2A4_03426"
"dcuA","","Anaerobic C4-dicarboxylate transporter DcuA","5","5","1","167","792","255","1","","1301","1301","1301","18P3R3A11_01963","37P2R3-2A1_03937","38P2R3A13_02281","47P2R3A6_02852","52P2R3A10_03163",""
"flgG","","Flagellar basal-body rod protein FlgG","5","5","1","166","593","23","54","","782","782","782","18P3R3A11_00585","37P2R3-2A1_00321","38P2R3A13_00695","","52P2R3A10_00691","56P2R2A4_02227"
"ansA","","L-asparaginase 1","5","5","1","166","670","15","40","","1016","1016","1016","18P3R3A11_00501","37P2R3-2A1_00403","38P2R3A13_00611","","52P2R3A10_00607","56P2R2A4_02143"
"hycE","","Formate hydrogenlyase subunit 5","5","5","1","166","4175","11","61","","1709","1709","1709","18P3R3A11_02524","37P2R3-2A1_03655","38P2R3A13_02014","","52P2R3A10_02500","56P2R2A4_02740"
"rfaC","","Lipopolysaccharide heptosyltransferase 1","5","5","1","168","650","27","47","","983","983","983","18P3R3A11_02184","37P2R3-2A1_03284","38P2R3A13_04682","","52P2R3A10_04190","56P2R2A4_03425"
"group_10261","rbsB_3","Ribose import binding protein RbsB","5","5","1","169","82","25","15","","941","941","941","18P3R3A11_04467","37P2R3-2A1_04059","38P2R3A13_03155","","52P2R3A10_03597","56P2R2A4_04029"
"hpaB","","4-hydroxyphenylacetate 3-monooxygenase oxygenase component","5","5","1","167","65","3","242","","1562","1562","1562","18P3R3A11_01452","37P2R3-2A1_02262","38P2R3A13_02467","","52P2R3A10_02139","56P2R2A4_02503"
"tuf1_2","","Elongation factor Tu 1","5","5","1","171","36","348","1","","137","137","137","18P3R3A11_04457","37P2R3-2A1_04358","38P2R3A13_05877","","52P2R3A10_04265","56P2R2A4_04163"
"coaD","","Phosphopantetheine adenylyltransferase","5","5","1","168","657","27","1","","479","479","479","18P3R3A11_02195","37P2R3-2A1_03295","38P2R3A13_04671","","52P2R3A10_04179","56P2R2A4_03414"
"group_10271","","hypothetical protein","5","5","1","167","119","32","21","","161","161","161","18P3R3A11_01491","37P2R3-2A1_02302","38P2R3A13_02504","","52P2R3A10_02175","56P2R2A4_02466"
"thyA","","Thymidylate synthase","5","5","1","166","4598","90","5","","794","794","794","18P3R3A11_00934","37P2R3-2A1_02735","38P2R3A13_02098","","52P2R3A10_02584","56P2R2A4_02651"
"group_10285","","hypothetical protein","5","5","1","166","5212","1","1443","","347","347","347","18P3R3A11_00296","37P2R3-2A1_00619","38P2R3A13_00415","","52P2R3A10_00414","56P2R2A4_01945"
"yeiP","","Elongation factor P-like protein","5","5","1","166","5704","38","8","","572","572","572","18P3R3A11_02474","37P2R3-2A1_01783","38P2R3A13_01376","","52P2R3A10_01987","56P2R2A4_01710"
"group_10291","","hypothetical protein","5","5","1","166","2981","10","74","","524","524","524","18P3R3A11_03990","37P2R3-2A1_03166","38P2R3A13_01656","","52P2R3A10_01538","56P2R2A4_00232"
"def","","Peptide deformylase","5","5","1","171","13","95","14","","509","509","509","18P3R3A11_04419","37P2R3-2A1_04396","38P2R3A13_05915","","52P2R3A10_04303","56P2R2A4_04125"
"group_10314","","hypothetical protein","5","5","1","166","659","31","1","","1301","1301","1301","18P3R3A11_00510","37P2R3-2A1_00394","38P2R3A13_00620","","52P2R3A10_00616","56P2R2A4_02151"
"argP_1","","HTH-type transcriptional regulator ArgP","5","5","1","166","6000","5","14","","917","917","917","18P3R3A11_04591","37P2R3-2A1_03748","38P2R3A13_01538","","52P2R3A10_01849","56P2R2A4_00002"
"cueR","","HTH-type transcriptional regulator CueR","5","5","1","166","5488","47","11","","410","410","410","18P3R3A11_02235","37P2R3-2A1_01400","38P2R3A13_01180","","52P2R3A10_01314","56P2R2A4_00846"
"group_10344","","hypothetical protein","5","5","1","166","7638","6","52","","476","476","476","18P3R3A11_01351","37P2R3-2A1_01681","38P2R3A13_01044","","52P2R3A10_01040","56P2R2A4_01106"
"frdD","","Fumarate reductase subunit D","5","5","1","167","821","30","46","","359","359","359","18P3R3A11_01979","37P2R3-2A1_03953","38P2R3A13_02266","","52P2R3A10_03148","56P2R2A4_03907"
"narL","","Nitrate/nitrite response regulator protein NarL","5","5","1","166","3074","64","8","","650","650","650","18P3R3A11_00662","37P2R3-2A1_01183","38P2R3A13_02639","","52P2R3A10_03370","56P2R2A4_00283"
"marA_1","","Multiple antibiotic resistance protein MarA","5","5","1","166","3690","1","605","","380","380","380","18P3R3A11_00101","37P2R3-2A1_00815","38P2R3A13_00197","","52P2R3A10_00196","56P2R2A4_00705"
"mrdB","","Peptidoglycan glycosyltransferase MrdB","5","5","1","166","7510","76","13","","1112","1112","1112","18P3R3A11_01242","37P2R3-2A1_01573","38P2R3A13_04265","","52P2R3A10_01165","56P2R2A4_01001"
"yqgF","","Putative pre-16S rRNA nuclease","5","5","1","166","2015","110","10","","416","416","416","18P3R3A11_01063","37P2R3-2A1_02603","38P2R3A13_04823","47P2R3A6_01636","52P2R3A10_04116",""
"srlA","","PTS system glucitol/sorbitol-specific EIIC component","5","5","1","166","4195","11","40","","563","563","563","18P3R3A11_02544","37P2R3-2A1_03635","38P2R3A13_01994","","52P2R3A10_02480","56P2R2A4_02760"
"sbnA","","N-(2-amino-2-carboxyethyl)-L-glutamate synthase","5","5","1","166","5547","89","17","","1046","1049","1047","18P3R3A11_02281","37P2R3-2A1_01354","38P2R3A13_01226","","52P2R3A10_01360","56P2R2A4_00800"
"ilvA","","L-threonine dehydratase biosynthetic IlvA","5","5","1","168","330","172","2","","1547","1547","1547","18P3R3A11_03558","37P2R3-2A1_04155","38P2R3A13_04229","","52P2R3A10_04057","56P2R2A4_03790"
"rluB","","Ribosomal large subunit pseudouridine synthase B","5","5","1","166","3213","4","22","","875","875","875","18P3R3A11_00718","37P2R3-2A1_01123","38P2R3A13_04395","47P2R3A6_00932","","56P2R2A4_00395"
"cof","","HMP-PP phosphatase","5","5","1","166","5548","89","16","","818","818","818","18P3R3A11_02282","37P2R3-2A1_01353","38P2R3A13_01227","","52P2R3A10_01361","56P2R2A4_00799"
"speB","","Agmatinase","5","5","1","166","1924","49","9","","920","920","920","18P3R3A11_01054","37P2R3-2A1_02612","38P2R3A13_04814","","52P2R3A10_04107","56P2R2A4_03332"
"glnQ_6","","Glutamine transport ATP-binding protein GlnQ","5","5","1","166","1521","708","1","","758","758","758","18P3R3A11_02749","37P2R3-2A1_03527","38P2R3A13_04469","47P2R3A6_01332","52P2R3A10_02832",""
"hldD","","ADP-L-glycero-D-manno-heptose-6-epimerase","5","5","1","168","644","27","43","","932","932","932","18P3R3A11_02182","37P2R3-2A1_03282","38P2R3A13_04684","","52P2R3A10_04192","56P2R2A4_03427"
"group_10472","","hypothetical protein","5","5","1","166","43","121","6","","182","182","182","18P3R3A11_03151","37P2R3-2A1_00161","38P2R3A13_00888","","52P2R3A10_00884","56P2R2A4_01266"
"soxS","","Regulatory protein SoxS","5","5","1","169","102","62","24","","326","326","326","18P3R3A11_04576","37P2R3-2A1_04038","38P2R3A13_03134","","52P2R3A10_03576","56P2R2A4_03691"
"aspT_1","","Aspartate/alanine antiporter","5","5","1","166","84","29","17","","1685","1685","1685","18P3R3A11_02818","37P2R3-2A1_00075","38P2R3A13_00962","","52P2R3A10_00958","56P2R2A4_01195"
"pxpA","","5-oxoprolinase subunit A","5","5","1","166","7575","98","3","","740","740","740","18P3R3A11_01296","37P2R3-2A1_01627","38P2R3A13_04318","","52P2R3A10_01110","56P2R2A4_01055"
"trkA","","Trk system potassium uptake protein TrkA","5","5","1","171","70","95","9","","1376","1376","1376","18P3R3A11_04422","37P2R3-2A1_04393","38P2R3A13_05912","","52P2R3A10_04300","56P2R2A4_04128"
"yadH","","Inner membrane transport permease YadH","5","5","1","167","324","52","22","","770","770","770","18P3R3A11_03539","37P2R3-2A1_02438","38P2R3A13_03520","","52P2R3A10_02310","56P2R2A4_02332"
"cidA","","Holin-like protein CidA","5","5","1","169","97","62","18","","410","410","410","18P3R3A11_04558","37P2R3-2A1_04044","38P2R3A13_03140","","52P2R3A10_03582","56P2R2A4_04015"
"lolD","","Lipoprotein-releasing system ATP-binding protein LolD","5","5","1","166","1111","12","24","","701","701","701","18P3R3A11_00545","37P2R3-2A1_00361","38P2R3A13_00656","","52P2R3A10_00652","56P2R2A4_02188"
"rpmE2","","50S ribosomal protein L31 type B","5","5","1","166","5518","39","31","","260","260","260","18P3R3A11_02263","37P2R3-2A1_01372","38P2R3A13_01208","","52P2R3A10_01342","56P2R2A4_00818"
"tsx","","Nucleoside-specific channel-forming protein Tsx","5","5","1","166","7118","109","11","","890","890","890","18P3R3A11_02319","37P2R3-2A1_01316","38P2R3A13_01263","47P2R3A6_03416","52P2R3A10_01397",""
"flgC","","Flagellar basal-body rod protein FlgC","5","5","1","166","598","23","49","","404","404","404","18P3R3A11_00589","37P2R3-2A1_00317","38P2R3A13_00699","","52P2R3A10_00695","56P2R2A4_02231"
"flhA","","Flagellar biosynthesis protein FlhA","5","5","1","166","2509","87","11","","2078","2078","2078","18P3R3A11_01673","37P2R3-2A1_03059","38P2R3A13_01818","","52P2R3A10_01699","56P2R2A4_00121"
"fumD","","Fumarase D","5","5","1","166","784","68","23","","209","209","209","18P3R3A11_00400","37P2R3-2A1_00513","38P2R3A13_00513","","52P2R3A10_00512","56P2R2A4_02047"
"thiI","","tRNA sulfurtransferase","5","5","1","166","5563","151","3","","1448","1448","1448","18P3R3A11_02307","37P2R3-2A1_01328","38P2R3A13_01252","","52P2R3A10_01386","56P2R2A4_00776"
"folP","","Dihydropteroate synthase","5","5","1","166","1651","367","1","","848","848","848","18P3R3A11_02650","37P2R3-2A1_03428","38P2R3A13_03009","47P2R3A6_01431","52P2R3A10_02738",""
"group_10596","","hypothetical protein","5","5","1","166","2982","10","73","","1499","1499","1499","18P3R3A11_03991","37P2R3-2A1_03167","38P2R3A13_01655","","52P2R3A10_01537","56P2R2A4_00233"
"group_10598","","hypothetical protein","5","5","1","166","629","31","17","","446","446","446","18P3R3A11_00513","37P2R3-2A1_00391","38P2R3A13_00623","","52P2R3A10_00619","56P2R2A4_02154"
"sufB","","FeS cluster assembly protein SufB","5","5","1","166","881","19","22","","1490","1490","1490","18P3R3A11_00414","37P2R3-2A1_00500","38P2R3A13_00526","","52P2R3A10_00525","56P2R2A4_02060"
"fdnG_1","","Formate dehydrogenase, nitrate-inducible, major subunit","5","5","1","166","3363","2","608","","587","587","587","18P3R3A11_00882","37P2R3-2A1_00913","38P2R3A13_00076","","52P2R3A10_00076","56P2R2A4_00596"
"ilvD","","Dihydroxy-acid dehydratase","5","5","1","168","329","172","1","","1850","1850","1850","18P3R3A11_03557","37P2R3-2A1_04154","38P2R3A13_04230","","52P2R3A10_04058","56P2R2A4_03789"
"btuD_2","","Vitamin B12 import ATP-binding protein BtuD","5","5","1","166","2378","4","99","","1004","1004","1004","18P3R3A11_00687","37P2R3-2A1_01159","38P2R3A13_02662","","52P2R3A10_03393","56P2R2A4_00308"
"yajI","","putative lipoprotein YajI","5","5","1","166","7125","109","5","","539","539","539","18P3R3A11_02318","37P2R3-2A1_01317","38P2R3A13_01262","","52P2R3A10_01396","56P2R2A4_00766"
"fbaB","","Fructose-bisphosphate aldolase class 1","5","5","1","166","6130","54","30","","1052","1052","1052","18P3R3A11_03825","37P2R3-2A1_01717","38P2R3A13_01446","","52P2R3A10_02057","56P2R2A4_01775"
"group_10654","","hypothetical protein","5","5","1","166","2918","24","45","","254","254","254","18P3R3A11_03971","37P2R3-2A1_03147","38P2R3A13_01674","","52P2R3A10_01556","56P2R2A4_00210"
"prpC","","Protein phosphatase PrpC","5","5","1","166","2994","10","63","","797","797","797","18P3R3A11_03998","37P2R3-2A1_03174","38P2R3A13_01646","","52P2R3A10_01528","56P2R2A4_00240"
"cstA","","Peptide transporter CstA","5","5","1","166","1302","1","1172","","2105","2105","2105","18P3R3A11_01199","37P2R3-2A1_01529","38P2R3A13_01071","","52P2R3A10_01206","56P2R2A4_00961"
"yehZ","","Glycine betaine-binding protein YehZ","5","5","1","166","6241","35","22","","917","917","917","18P3R3A11_04174","37P2R3-2A1_01745","38P2R3A13_01413","","52P2R3A10_02024","56P2R2A4_01748"
"ghxP","","Guanine/hypoxanthine permease GhxP","5","5","1","169","662","62","21","","1349","1349","1349","18P3R3A11_04561","37P2R3-2A1_04041","38P2R3A13_03137","","52P2R3A10_03579","56P2R2A4_03688"
